F1,
Optimum found: -4063.14,
Optimal point: , -510.505, -432.462, -361.944, -301.902, -264.136, -179.468, -151.362, -143.084, -138.369, -137.232, -131.516, -128.619, -110.284, -105.158, -53.2489, 0.436235, 110.054, 171.447, 189.058, 217.066, 224.457, 376.266, 377.716, 393.501, 402.583, 409.622, 422.937, 431.483, 454.667, 471.362,
Mean:, -2724.95,
Median:, 3188.2,
Time:, 0.000298482,
Median:, 5364.21,
SD:, 1073.74,

F2,
Optimum found: 1.08267e+06,
Optimal point: , -496.446, -418.78, -242.994, -214.437, -192.786, -137.039, -120.621, -111.71, -34.1072, 1.68087, 8.51825, 8.92089, 10.212, 17.0486, 53.5483, 68.1468, 68.8057, 80.3881, 83.6777, 84.464, 86.7609, 94.6354, 101.156, 151.79, 179.283, 189.314, 258.058, 260.667, 299.443, 310.369,
Mean:, 1.60883e+06,
Median:, 2.62428e+08,
Time:, 0.000198202,
Median:, 2.08691e+06,
SD:, 421053,

F3,
Optimum found: 8.74161e+12,
Optimal point: , -356.795, -336.046, -336.002, -289.415, -277.48, -267.694, -250.956, -208.018, -176.853, -142.651, -96.6712, -92.5764, -89.9186, -63.655, -28.2977, -16.676, -1.41182, 10.6402, 45.9957, 81.5992, 116.183, 144.261, 148.442, 184.735, 185.162, 187.235, 209.444, 229.509, 278.468, 304.357,
Mean:, 1.80196e+13,
Median:, 3.93793e+15,
Time:, 0.000198489,
Median:, 4.78742e+13,
SD:, 9.72907e+12,

F4,
Optimum found: 1.15263e+06,
Optimal point: , -340.528, -334.876, -319.71, -305.622, -203.784, -171.278, -152.671, -101.128, -94.6003, -92.1072, -81.1572, -64.2694, -52.6543, -29.3573, -28.2674, -19.7624, -12.4702, -9.83335, -7.73035, -4.14528, 4.54796, 29.9667, 54.6019, 88.6707, 97.0382, 161.161, 306.076, 367.146, 394.826, 406.681,
Mean:, 1.59475e+06,
Median:, 2.62148e+08,
Time:, 0.000246219,
Median:, 2.10122e+06,
SD:, 421796,

F5,
Optimum found: 274.318,
Optimal point: , -483.843, -382.976, -359.899, -265.653, -253.815, -250.16, -207.768, -196.469, -188.668, -181.898, -168.275, -132.183, -115.768, -85.331, -83.3105, -79.8836, -77.4435, -69.6836, -58.6258, -22.3996, 10.4051, 14.4072, 22.0751, 24.5007, 63.9347, 64.8016, 66.9143, 141.167, 225.156, 235.725,
Mean:, 402.653,
Median:, 65716.9,
Time:, 0.000309556,
Median:, 535.108,
SD:, 106.764,

F6,
Optimum found: -15.9264,
Optimal point: , -477.197, -468.967, -462.895, -441.597, -340.025, -300.727, -292.204, -287.579, -271.188, -254.394, -216.59, -161.639, -138.115, -63.0548, -1.85192, 1.21182, 7.5915, 26.1434, 32.9667, 66.9043, 76.4959, 82.2996, 106.108, 148, 174.843, 290.462, 302.888, 386.38, 453.04, 491.375,
Mean:, -15.2443,
Median:, -1450.77,
Time:, 0.000254481,
Median:, 0.743789,
SD:, 0.109287,

